x3/4 : ['a', 'b', 'c', 'e', 'd', 'f', 'g', 'h', 'i', 'j', 'k', 'l', 'm', 'n', 'o', 'p', 'q', 'r', 's', 't', 'u', 'v', 'w', 'x', 'y', 'z']
x10/4 : ['v', 'z', 'h', 'e', 'd', 't', 'x', 'm', 'q', 'o', 'r', 'c', 'i', 'n', 'k', 'b', 'j', 'p', 'g', 's', 'a', 'w', 'u', 'l', 'f', 'y']
pi/g : ['v', 'z', 'h', 'e', 'd', 't', 'x', 'm', 'q', 'o', 'r', 'c', 'g', 'n', 'k', 'b', 'j', 'p', 'i', 's', 'a', 'w', 'u', 'l', 'f', 'y']
s1 : ['y', 'v', 'z', 'h', 'e', 'd', 't', 'x', 'm', 'q', 'o', 'r', 'c', 'g', 'n', 'k', 'b', 'j', 'p', 'i', 's', 'a', 'w', 'u', 'l', 'f']
x13/14 : ['y', 'v', 'z', 'h', 'e', 'd', 't', 'x', 'm', 'q', 'o', 'r', 'c', 'n', 'g', 'k', 'b', 'j', 'p', 'i', 's', 'a', 'w', 'u', 'l', 'f']
pa/j : ['y', 'v', 'z', 'h', 'e', 'd', 't', 'x', 'm', 'q', 'o', 'r', 'c', 'n', 'g', 'k', 'b', 'a', 'p', 'i', 's', 'j', 'w', 'u', 'l', 'f']
x9/5 : ['y', 'v', 'z', 'h', 'e', 'q', 't', 'x', 'm', 'd', 'o', 'r', 'c', 'n', 'g', 'k', 'b', 'a', 'p', 'i', 's', 'j', 'w', 'u', 'l', 'f']
s1 : ['f', 'y', 'v', 'z', 'h', 'e', 'q', 't', 'x', 'm', 'd', 'o', 'r', 'c', 'n', 'g', 'k', 'b', 'a', 'p', 'i', 's', 'j', 'w', 'u', 'l']
x4/7 : ['f', 'y', 'v', 'z', 't', 'e', 'q', 'h', 'x', 'm', 'd', 'o', 'r', 'c', 'n', 'g', 'k', 'b', 'a', 'p', 'i', 's', 'j', 'w', 'u', 'l']
s5 : ['s', 'j', 'w', 'u', 'l', 'f', 'y', 'v', 'z', 't', 'e', 'q', 'h', 'x', 'm', 'd', 'o', 'r', 'c', 'n', 'g', 'k', 'b', 'a', 'p', 'i']
x1/13 : ['s', 'x', 'w', 'u', 'l', 'f', 'y', 'v', 'z', 't', 'e', 'q', 'h', 'j', 'm', 'd', 'o', 'r', 'c', 'n', 'g', 'k', 'b', 'a', 'p', 'i']
s4 : ['b', 'a', 'p', 'i', 's', 'x', 'w', 'u', 'l', 'f', 'y', 'v', 'z', 't', 'e', 'q', 'h', 'j', 'm', 'd', 'o', 'r', 'c', 'n', 'g', 'k']
x5/9 : ['b', 'a', 'p', 'i', 's', 'f', 'w', 'u', 'l', 'x', 'y', 'v', 'z', 't', 'e', 'q', 'h', 'j', 'm', 'd', 'o', 'r', 'c', 'n', 'g', 'k']
pi/b : ['i', 'a', 'p', 'b', 's', 'f', 'w', 'u', 'l', 'x', 'y', 'v', 'z', 't', 'e', 'q', 'h', 'j', 'm', 'd', 'o', 'r', 'c', 'n', 'g', 'k']
x8/11 : ['i', 'a', 'p', 'b', 's', 'f', 'w', 'u', 'v', 'x', 'y', 'l', 'z', 't', 'e', 'q', 'h', 'j', 'm', 'd', 'o', 'r', 'c', 'n', 'g', 'k']
pj/a : ['i', 'j', 'p', 'b', 's', 'f', 'w', 'u', 'v', 'x', 'y', 'l', 'z', 't', 'e', 'q', 'h', 'a', 'm', 'd', 'o', 'r', 'c', 'n', 'g', 'k']
x2/10 : ['i', 'j', 'y', 'b', 's', 'f', 'w', 'u', 'v', 'x', 'p', 'l', 'z', 't', 'e', 'q', 'h', 'a', 'm', 'd', 'o', 'r', 'c', 'n', 'g', 'k']
pe/f : ['i', 'j', 'y', 'b', 's', 'e', 'w', 'u', 'v', 'x', 'p', 'l', 'z', 't', 'f', 'q', 'h', 'a', 'm', 'd', 'o', 'r', 'c', 'n', 'g', 'k']
x4/12 : ['i', 'j', 'y', 'b', 'z', 'e', 'w', 'u', 'v', 'x', 'p', 'l', 's', 't', 'f', 'q', 'h', 'a', 'm', 'd', 'o', 'r', 'c', 'n', 'g', 'k']
s10 : ['h', 'a', 'm', 'd', 'o', 'r', 'c', 'n', 'g', 'k', 'i', 'j', 'y', 'b', 'z', 'e', 'w', 'u', 'v', 'x', 'p', 'l', 's', 't', 'f', 'q']
x0/3 : ['d', 'a', 'm', 'h', 'o', 'r', 'c', 'n', 'g', 'k', 'i', 'j', 'y', 'b', 'z', 'e', 'w', 'u', 'v', 'x', 'p', 'l', 's', 't', 'f', 'q']
s5 : ['l', 's', 't', 'f', 'q', 'd', 'a', 'm', 'h', 'o', 'r', 'c', 'n', 'g', 'k', 'i', 'j', 'y', 'b', 'z', 'e', 'w', 'u', 'v', 'x', 'p']
x7/12 : ['l', 's', 't', 'f', 'q', 'd', 'a', 'n', 'h', 'o', 'r', 'c', 'm', 'g', 'k', 'i', 'j', 'y', 'b', 'z', 'e', 'w', 'u', 'v', 'x', 'p']
s11 : ['i', 'j', 'y', 'b', 'z', 'e', 'w', 'u', 'v', 'x', 'p', 'l', 's', 't', 'f', 'q', 'd', 'a', 'n', 'h', 'o', 'r', 'c', 'm', 'g', 'k']
x11/6 : ['i', 'j', 'y', 'b', 'z', 'e', 'l', 'u', 'v', 'x', 'p', 'w', 's', 't', 'f', 'q', 'd', 'a', 'n', 'h', 'o', 'r', 'c', 'm', 'g', 'k']
pi/k : ['k', 'j', 'y', 'b', 'z', 'e', 'l', 'u', 'v', 'x', 'p', 'w', 's', 't', 'f', 'q', 'd', 'a', 'n', 'h', 'o', 'r', 'c', 'm', 'g', 'i']
x5/1 : ['k', 'e', 'y', 'b', 'z', 'j', 'l', 'u', 'v', 'x', 'p', 'w', 's', 't', 'f', 'q', 'd', 'a', 'n', 'h', 'o', 'r', 'c', 'm', 'g', 'i']
s1 : ['i', 'k', 'e', 'y', 'b', 'z', 'j', 'l', 'u', 'v', 'x', 'p', 'w', 's', 't', 'f', 'q', 'd', 'a', 'n', 'h', 'o', 'r', 'c', 'm', 'g']
x0/2 : ['e', 'k', 'i', 'y', 'b', 'z', 'j', 'l', 'u', 'v', 'x', 'p', 'w', 's', 't', 'f', 'q', 'd', 'a', 'n', 'h', 'o', 'r', 'c', 'm', 'g']
pl/f : ['e', 'k', 'i', 'y', 'b', 'z', 'j', 'f', 'u', 'v', 'x', 'p', 'w', 's', 't', 'l', 'q', 'd', 'a', 'n', 'h', 'o', 'r', 'c', 'm', 'g']
x5/15 : ['e', 'k', 'i', 'y', 'b', 'l', 'j', 'f', 'u', 'v', 'x', 'p', 'w', 's', 't', 'z', 'q', 'd', 'a', 'n', 'h', 'o', 'r', 'c', 'm', 'g']
pp/c : ['e', 'k', 'i', 'y', 'b', 'l', 'j', 'f', 'u', 'v', 'x', 'c', 'w', 's', 't', 'z', 'q', 'd', 'a', 'n', 'h', 'o', 'r', 'p', 'm', 'g']
x14/10 : ['e', 'k', 'i', 'y', 'b', 'l', 'j', 'f', 'u', 'v', 't', 'c', 'w', 's', 'x', 'z', 'q', 'd', 'a', 'n', 'h', 'o', 'r', 'p', 'm', 'g']
pa/k : ['e', 'a', 'i', 'y', 'b', 'l', 'j', 'f', 'u', 'v', 't', 'c', 'w', 's', 'x', 'z', 'q', 'd', 'k', 'n', 'h', 'o', 'r', 'p', 'm', 'g']
s14 : ['w', 's', 'x', 'z', 'q', 'd', 'k', 'n', 'h', 'o', 'r', 'p', 'm', 'g', 'e', 'a', 'i', 'y', 'b', 'l', 'j', 'f', 'u', 'v', 't', 'c']
x7/11 : ['w', 's', 'x', 'z', 'q', 'd', 'k', 'p', 'h', 'o', 'r', 'n', 'm', 'g', 'e', 'a', 'i', 'y', 'b', 'l', 'j', 'f', 'u', 'v', 't', 'c']
ph/b : ['w', 's', 'x', 'z', 'q', 'd', 'k', 'p', 'b', 'o', 'r', 'n', 'm', 'g', 'e', 'a', 'i', 'y', 'h', 'l', 'j', 'f', 'u', 'v', 't', 'c']
x0/5 : ['d', 's', 'x', 'z', 'q', 'w', 'k', 'p', 'b', 'o', 'r', 'n', 'm', 'g', 'e', 'a', 'i', 'y', 'h', 'l', 'j', 'f', 'u', 'v', 't', 'c']
pe/a : ['d', 's', 'x', 'z', 'q', 'w', 'k', 'p', 'b', 'o', 'r', 'n', 'm', 'g', 'a', 'e', 'i', 'y', 'h', 'l', 'j', 'f', 'u', 'v', 't', 'c']
x14/7 : ['d', 's', 'x', 'z', 'q', 'w', 'k', 'a', 'b', 'o', 'r', 'n', 'm', 'g', 'p', 'e', 'i', 'y', 'h', 'l', 'j', 'f', 'u', 'v', 't', 'c']
ph/i : ['d', 's', 'x', 'z', 'q', 'w', 'k', 'a', 'b', 'o', 'r', 'n', 'm', 'g', 'p', 'e', 'h', 'y', 'i', 'l', 'j', 'f', 'u', 'v', 't', 'c']
x0/13 : ['g', 's', 'x', 'z', 'q', 'w', 'k', 'a', 'b', 'o', 'r', 'n', 'm', 'd', 'p', 'e', 'h', 'y', 'i', 'l', 'j', 'f', 'u', 'v', 't', 'c']
s9 : ['y', 'i', 'l', 'j', 'f', 'u', 'v', 't', 'c', 'g', 's', 'x', 'z', 'q', 'w', 'k', 'a', 'b', 'o', 'r', 'n', 'm', 'd', 'p', 'e', 'h']
pb/j : ['y', 'i', 'l', 'b', 'f', 'u', 'v', 't', 'c', 'g', 's', 'x', 'z', 'q', 'w', 'k', 'a', 'j', 'o', 'r', 'n', 'm', 'd', 'p', 'e', 'h']
x1/9 : ['y', 'g', 'l', 'b', 'f', 'u', 'v', 't', 'c', 'i', 's', 'x', 'z', 'q', 'w', 'k', 'a', 'j', 'o', 'r', 'n', 'm', 'd', 'p', 'e', 'h']
pc/k : ['y', 'g', 'l', 'b', 'f', 'u', 'v', 't', 'k', 'i', 's', 'x', 'z', 'q', 'w', 'c', 'a', 'j', 'o', 'r', 'n', 'm', 'd', 'p', 'e', 'h']
x3/8 : ['y', 'g', 'l', 'k', 'f', 'u', 'v', 't', 'b', 'i', 's', 'x', 'z', 'q', 'w', 'c', 'a', 'j', 'o', 'r', 'n', 'm', 'd', 'p', 'e', 'h']
ph/n : ['y', 'g', 'l', 'k', 'f', 'u', 'v', 't', 'b', 'i', 's', 'x', 'z', 'q', 'w', 'c', 'a', 'j', 'o', 'r', 'h', 'm', 'd', 'p', 'e', 'n']
x10/6 : ['y', 'g', 'l', 'k', 'f', 'u', 's', 't', 'b', 'i', 'v', 'x', 'z', 'q', 'w', 'c', 'a', 'j', 'o', 'r', 'h', 'm', 'd', 'p', 'e', 'n']
pi/o : ['y', 'g', 'l', 'k', 'f', 'u', 's', 't', 'b', 'o', 'v', 'x', 'z', 'q', 'w', 'c', 'a', 'j', 'i', 'r', 'h', 'm', 'd', 'p', 'e', 'n']
x15/7 : ['y', 'g', 'l', 'k', 'f', 'u', 's', 'c', 'b', 'o', 'v', 'x', 'z', 'q', 'w', 't', 'a', 'j', 'i', 'r', 'h', 'm', 'd', 'p', 'e', 'n']
s15 : ['x', 'z', 'q', 'w', 't', 'a', 'j', 'i', 'r', 'h', 'm', 'd', 'p', 'e', 'n', 'y', 'g', 'l', 'k', 'f', 'u', 's', 'c', 'b', 'o', 'v']
x0/14 : ['n', 'z', 'q', 'w', 't', 'a', 'j', 'i', 'r', 'h', 'm', 'd', 'p', 'e', 'x', 'y', 'g', 'l', 'k', 'f', 'u', 's', 'c', 'b', 'o', 'v']
pj/f : ['n', 'z', 'q', 'w', 't', 'a', 'f', 'i', 'r', 'h', 'm', 'd', 'p', 'e', 'x', 'y', 'g', 'l', 'k', 'j', 'u', 's', 'c', 'b', 'o', 'v']
s1 : ['v', 'n', 'z', 'q', 'w', 't', 'a', 'f', 'i', 'r', 'h', 'm', 'd', 'p', 'e', 'x', 'y', 'g', 'l', 'k', 'j', 'u', 's', 'c', 'b', 'o']
x4/5 : ['v', 'n', 'z', 'q', 't', 'w', 'a', 'f', 'i', 'r', 'h', 'm', 'd', 'p', 'e', 'x', 'y', 'g', 'l', 'k', 'j', 'u', 's', 'c', 'b', 'o']
s11 : ['x', 'y', 'g', 'l', 'k', 'j', 'u', 's', 'c', 'b', 'o', 'v', 'n', 'z', 'q', 't', 'w', 'a', 'f', 'i', 'r', 'h', 'm', 'd', 'p', 'e']
x12/11 : ['x', 'y', 'g', 'l', 'k', 'j', 'u', 's', 'c', 'b', 'o', 'n', 'v', 'z', 'q', 't', 'w', 'a', 'f', 'i', 'r', 'h', 'm', 'd', 'p', 'e']
s4 : ['m', 'd', 'p', 'e', 'x', 'y', 'g', 'l', 'k', 'j', 'u', 's', 'c', 'b', 'o', 'n', 'v', 'z', 'q', 't', 'w', 'a', 'f', 'i', 'r', 'h']
x3/6 : ['m', 'd', 'p', 'g', 'x', 'y', 'e', 'l', 'k', 'j', 'u', 's', 'c', 'b', 'o', 'n', 'v', 'z', 'q', 't', 'w', 'a', 'f', 'i', 'r', 'h']
s5 : ['a', 'f', 'i', 'r', 'h', 'm', 'd', 'p', 'g', 'x', 'y', 'e', 'l', 'k', 'j', 'u', 's', 'c', 'b', 'o', 'n', 'v', 'z', 'q', 't', 'w']
x1/12 : ['a', 'l', 'i', 'r', 'h', 'm', 'd', 'p', 'g', 'x', 'y', 'e', 'f', 'k', 'j', 'u', 's', 'c', 'b', 'o', 'n', 'v', 'z', 'q', 't', 'w']
pp/l : ['a', 'p', 'i', 'r', 'h', 'm', 'd', 'l', 'g', 'x', 'y', 'e', 'f', 'k', 'j', 'u', 's', 'c', 'b', 'o', 'n', 'v', 'z', 'q', 't', 'w']
x2/4 : ['a', 'p', 'h', 'r', 'i', 'm', 'd', 'l', 'g', 'x', 'y', 'e', 'f', 'k', 'j', 'u', 's', 'c', 'b', 'o', 'n', 'v', 'z', 'q', 't', 'w']
s15 : ['e', 'f', 'k', 'j', 'u', 's', 'c', 'b', 'o', 'n', 'v', 'z', 'q', 't', 'w', 'a', 'p', 'h', 'r', 'i', 'm', 'd', 'l', 'g', 'x', 'y']
x8/3 : ['e', 'f', 'k', 'o', 'u', 's', 'c', 'b', 'j', 'n', 'v', 'z', 'q', 't', 'w', 'a', 'p', 'h', 'r', 'i', 'm', 'd', 'l', 'g', 'x', 'y']
s7 : ['i', 'm', 'd', 'l', 'g', 'x', 'y', 'e', 'f', 'k', 'o', 'u', 's', 'c', 'b', 'j', 'n', 'v', 'z', 'q', 't', 'w', 'a', 'p', 'h', 'r']
x7/12 : ['i', 'm', 'd', 'l', 'g', 'x', 'y', 's', 'f', 'k', 'o', 'u', 'e', 'c', 'b', 'j', 'n', 'v', 'z', 'q', 't', 'w', 'a', 'p', 'h', 'r']
pj/o : ['i', 'm', 'd', 'l', 'g', 'x', 'y', 's', 'f', 'k', 'j', 'u', 'e', 'c', 'b', 'o', 'n', 'v', 'z', 'q', 't', 'w', 'a', 'p', 'h', 'r']
x4/13 : ['i', 'm', 'd', 'l', 'c', 'x', 'y', 's', 'f', 'k', 'j', 'u', 'e', 'g', 'b', 'o', 'n', 'v', 'z', 'q', 't', 'w', 'a', 'p', 'h', 'r']
pe/d : ['i', 'm', 'e', 'l', 'c', 'x', 'y', 's', 'f', 'k', 'j', 'u', 'd', 'g', 'b', 'o', 'n', 'v', 'z', 'q', 't', 'w', 'a', 'p', 'h', 'r']
s2 : ['h', 'r', 'i', 'm', 'e', 'l', 'c', 'x', 'y', 's', 'f', 'k', 'j', 'u', 'd', 'g', 'b', 'o', 'n', 'v', 'z', 'q', 't', 'w', 'a', 'p']
x6/3 : ['h', 'r', 'i', 'c', 'e', 'l', 'm', 'x', 'y', 's', 'f', 'k', 'j', 'u', 'd', 'g', 'b', 'o', 'n', 'v', 'z', 'q', 't', 'w', 'a', 'p']
s15 : ['k', 'j', 'u', 'd', 'g', 'b', 'o', 'n', 'v', 'z', 'q', 't', 'w', 'a', 'p', 'h', 'r', 'i', 'c', 'e', 'l', 'm', 'x', 'y', 's', 'f']
x5/8 : ['k', 'j', 'u', 'd', 'g', 'v', 'o', 'n', 'b', 'z', 'q', 't', 'w', 'a', 'p', 'h', 'r', 'i', 'c', 'e', 'l', 'm', 'x', 'y', 's', 'f']
s14 : ['w', 'a', 'p', 'h', 'r', 'i', 'c', 'e', 'l', 'm', 'x', 'y', 's', 'f', 'k', 'j', 'u', 'd', 'g', 'v', 'o', 'n', 'b', 'z', 'q', 't']
x3/9 : ['w', 'a', 'p', 'm', 'r', 'i', 'c', 'e', 'l', 'h', 'x', 'y', 's', 'f', 'k', 'j', 'u', 'd', 'g', 'v', 'o', 'n', 'b', 'z', 'q', 't']
s1 : ['t', 'w', 'a', 'p', 'm', 'r', 'i', 'c', 'e', 'l', 'h', 'x', 'y', 's', 'f', 'k', 'j', 'u', 'd', 'g', 'v', 'o', 'n', 'b', 'z', 'q']
x7/0 : ['c', 'w', 'a', 'p', 'm', 'r', 'i', 't', 'e', 'l', 'h', 'x', 'y', 's', 'f', 'k', 'j', 'u', 'd', 'g', 'v', 'o', 'n', 'b', 'z', 'q']
s11 : ['k', 'j', 'u', 'd', 'g', 'v', 'o', 'n', 'b', 'z', 'q', 'c', 'w', 'a', 'p', 'm', 'r', 'i', 't', 'e', 'l', 'h', 'x', 'y', 's', 'f']
x2/8 : ['k', 'j', 'b', 'd', 'g', 'v', 'o', 'n', 'u', 'z', 'q', 'c', 'w', 'a', 'p', 'm', 'r', 'i', 't', 'e', 'l', 'h', 'x', 'y', 's', 'f']
pp/i : ['k', 'j', 'b', 'd', 'g', 'v', 'o', 'n', 'u', 'z', 'q', 'c', 'w', 'a', 'i', 'm', 'r', 'p', 't', 'e', 'l', 'h', 'x', 'y', 's', 'f']
x12/13 : ['k', 'j', 'b', 'd', 'g', 'v', 'o', 'n', 'u', 'z', 'q', 'c', 'a', 'w', 'i', 'm', 'r', 'p', 't', 'e', 'l', 'h', 'x', 'y', 's', 'f']
s15 : ['c', 'a', 'w', 'i', 'm', 'r', 'p', 't', 'e', 'l', 'h', 'x', 'y', 's', 'f', 'k', 'j', 'b', 'd', 'g', 'v', 'o', 'n', 'u', 'z', 'q']
x9/11 : ['c', 'a', 'w', 'i', 'm', 'r', 'p', 't', 'e', 'x', 'h', 'l', 'y', 's', 'f', 'k', 'j', 'b', 'd', 'g', 'v', 'o', 'n', 'u', 'z', 'q']
s4 : ['n', 'u', 'z', 'q', 'c', 'a', 'w', 'i', 'm', 'r', 'p', 't', 'e', 'x', 'h', 'l', 'y', 's', 'f', 'k', 'j', 'b', 'd', 'g', 'v', 'o']
x3/4 : ['n', 'u', 'z', 'c', 'q', 'a', 'w', 'i', 'm', 'r', 'p', 't', 'e', 'x', 'h', 'l', 'y', 's', 'f', 'k', 'j', 'b', 'd', 'g', 'v', 'o']
po/n : ['o', 'u', 'z', 'c', 'q', 'a', 'w', 'i', 'm', 'r', 'p', 't', 'e', 'x', 'h', 'l', 'y', 's', 'f', 'k', 'j', 'b', 'd', 'g', 'v', 'n']
s12 : ['h', 'l', 'y', 's', 'f', 'k', 'j', 'b', 'd', 'g', 'v', 'n', 'o', 'u', 'z', 'c', 'q', 'a', 'w', 'i', 'm', 'r', 'p', 't', 'e', 'x']
x2/11 : ['h', 'l', 'n', 's', 'f', 'k', 'j', 'b', 'd', 'g', 'v', 'y', 'o', 'u', 'z', 'c', 'q', 'a', 'w', 'i', 'm', 'r', 'p', 't', 'e', 'x']
s14 : ['o', 'u', 'z', 'c', 'q', 'a', 'w', 'i', 'm', 'r', 'p', 't', 'e', 'x', 'h', 'l', 'n', 's', 'f', 'k', 'j', 'b', 'd', 'g', 'v', 'y']
x7/6 : ['o', 'u', 'z', 'c', 'q', 'a', 'i', 'w', 'm', 'r', 'p', 't', 'e', 'x', 'h', 'l', 'n', 's', 'f', 'k', 'j', 'b', 'd', 'g', 'v', 'y']
s4 : ['d', 'g', 'v', 'y', 'o', 'u', 'z', 'c', 'q', 'a', 'i', 'w', 'm', 'r', 'p', 't', 'e', 'x', 'h', 'l', 'n', 's', 'f', 'k', 'j', 'b']
x9/14 : ['d', 'g', 'v', 'y', 'o', 'u', 'z', 'c', 'q', 'p', 'i', 'w', 'm', 'r', 'a', 't', 'e', 'x', 'h', 'l', 'n', 's', 'f', 'k', 'j', 'b']
pm/a : ['d', 'g', 'v', 'y', 'o', 'u', 'z', 'c', 'q', 'p', 'i', 'w', 'a', 'r', 'm', 't', 'e', 'x', 'h', 'l', 'n', 's', 'f', 'k', 'j', 'b']
x2/13 : ['d', 'g', 'r', 'y', 'o', 'u', 'z', 'c', 'q', 'p', 'i', 'w', 'a', 'v', 'm', 't', 'e', 'x', 'h', 'l', 'n', 's', 'f', 'k', 'j', 'b']
s12 : ['m', 't', 'e', 'x', 'h', 'l', 'n', 's', 'f', 'k', 'j', 'b', 'd', 'g', 'r', 'y', 'o', 'u', 'z', 'c', 'q', 'p', 'i', 'w', 'a', 'v']
x9/14 : ['m', 't', 'e', 'x', 'h', 'l', 'n', 's', 'f', 'r', 'j', 'b', 'd', 'g', 'k', 'y', 'o', 'u', 'z', 'c', 'q', 'p', 'i', 'w', 'a', 'v']
s14 : ['d', 'g', 'k', 'y', 'o', 'u', 'z', 'c', 'q', 'p', 'i', 'w', 'a', 'v', 'm', 't', 'e', 'x', 'h', 'l', 'n', 's', 'f', 'r', 'j', 'b']
x5/3 : ['d', 'g', 'k', 'u', 'o', 'y', 'z', 'c', 'q', 'p', 'i', 'w', 'a', 'v', 'm', 't', 'e', 'x', 'h', 'l', 'n', 's', 'f', 'r', 'j', 'b']
pp/j : ['d', 'g', 'k', 'u', 'o', 'y', 'z', 'c', 'q', 'j', 'i', 'w', 'a', 'v', 'm', 't', 'e', 'x', 'h', 'l', 'n', 's', 'f', 'r', 'p', 'b']
x15/7 : ['d', 'g', 'k', 'u', 'o', 'y', 'z', 't', 'q', 'j', 'i', 'w', 'a', 'v', 'm', 'c', 'e', 'x', 'h', 'l', 'n', 's', 'f', 'r', 'p', 'b']
pd/k : ['k', 'g', 'd', 'u', 'o', 'y', 'z', 't', 'q', 'j', 'i', 'w', 'a', 'v', 'm', 'c', 'e', 'x', 'h', 'l', 'n', 's', 'f', 'r', 'p', 'b']
x0/6 : ['z', 'g', 'd', 'u', 'o', 'y', 'k', 't', 'q', 'j', 'i', 'w', 'a', 'v', 'm', 'c', 'e', 'x', 'h', 'l', 'n', 's', 'f', 'r', 'p', 'b']
s9 : ['x', 'h', 'l', 'n', 's', 'f', 'r', 'p', 'b', 'z', 'g', 'd', 'u', 'o', 'y', 'k', 't', 'q', 'j', 'i', 'w', 'a', 'v', 'm', 'c', 'e']
x12/11 : ['x', 'h', 'l', 'n', 's', 'f', 'r', 'p', 'b', 'z', 'g', 'u', 'd', 'o', 'y', 'k', 't', 'q', 'j', 'i', 'w', 'a', 'v', 'm', 'c', 'e']
pn/i : ['x', 'h', 'l', 'i', 's', 'f', 'r', 'p', 'b', 'z', 'g', 'u', 'd', 'o', 'y', 'k', 't', 'q', 'j', 'n', 'w', 'a', 'v', 'm', 'c', 'e']
s8 : ['j', 'n', 'w', 'a', 'v', 'm', 'c', 'e', 'x', 'h', 'l', 'i', 's', 'f', 'r', 'p', 'b', 'z', 'g', 'u', 'd', 'o', 'y', 'k', 't', 'q']
x5/14 : ['j', 'n', 'w', 'a', 'v', 'r', 'c', 'e', 'x', 'h', 'l', 'i', 's', 'f', 'm', 'p', 'b', 'z', 'g', 'u', 'd', 'o', 'y', 'k', 't', 'q']
s11 : ['p', 'b', 'z', 'g', 'u', 'd', 'o', 'y', 'k', 't', 'q', 'j', 'n', 'w', 'a', 'v', 'r', 'c', 'e', 'x', 'h', 'l', 'i', 's', 'f', 'm']
x4/10 : ['p', 'b', 'z', 'g', 'q', 'd', 'o', 'y', 'k', 't', 'u', 'j', 'n', 'w', 'a', 'v', 'r', 'c', 'e', 'x', 'h', 'l', 'i', 's', 'f', 'm']
s7 : ['x', 'h', 'l', 'i', 's', 'f', 'm', 'p', 'b', 'z', 'g', 'q', 'd', 'o', 'y', 'k', 't', 'u', 'j', 'n', 'w', 'a', 'v', 'r', 'c', 'e']
x11/6 : ['x', 'h', 'l', 'i', 's', 'f', 'q', 'p', 'b', 'z', 'g', 'm', 'd', 'o', 'y', 'k', 't', 'u', 'j', 'n', 'w', 'a', 'v', 'r', 'c', 'e']
s7 : ['n', 'w', 'a', 'v', 'r', 'c', 'e', 'x', 'h', 'l', 'i', 's', 'f', 'q', 'p', 'b', 'z', 'g', 'm', 'd', 'o', 'y', 'k', 't', 'u', 'j']
x5/2 : ['n', 'w', 'c', 'v', 'r', 'a', 'e', 'x', 'h', 'l', 'i', 's', 'f', 'q', 'p', 'b', 'z', 'g', 'm', 'd', 'o', 'y', 'k', 't', 'u', 'j']
s6 : ['o', 'y', 'k', 't', 'u', 'j', 'n', 'w', 'c', 'v', 'r', 'a', 'e', 'x', 'h', 'l', 'i', 's', 'f', 'q', 'p', 'b', 'z', 'g', 'm', 'd']
x11/7 : ['o', 'y', 'k', 't', 'u', 'j', 'n', 'a', 'c', 'v', 'r', 'w', 'e', 'x', 'h', 'l', 'i', 's', 'f', 'q', 'p', 'b', 'z', 'g', 'm', 'd']
s2 : ['m', 'd', 'o', 'y', 'k', 't', 'u', 'j', 'n', 'a', 'c', 'v', 'r', 'w', 'e', 'x', 'h', 'l', 'i', 's', 'f', 'q', 'p', 'b', 'z', 'g']
x0/9 : ['a', 'd', 'o', 'y', 'k', 't', 'u', 'j', 'n', 'm', 'c', 'v', 'r', 'w', 'e', 'x', 'h', 'l', 'i', 's', 'f', 'q', 'p', 'b', 'z', 'g']
ph/d : ['a', 'h', 'o', 'y', 'k', 't', 'u', 'j', 'n', 'm', 'c', 'v', 'r', 'w', 'e', 'x', 'd', 'l', 'i', 's', 'f', 'q', 'p', 'b', 'z', 'g']
x1/2 : ['a', 'o', 'h', 'y', 'k', 't', 'u', 'j', 'n', 'm', 'c', 'v', 'r', 'w', 'e', 'x', 'd', 'l', 'i', 's', 'f', 'q', 'p', 'b', 'z', 'g']
s7 : ['s', 'f', 'q', 'p', 'b', 'z', 'g', 'a', 'o', 'h', 'y', 'k', 't', 'u', 'j', 'n', 'm', 'c', 'v', 'r', 'w', 'e', 'x', 'd', 'l', 'i']
x3/8 : ['s', 'f', 'q', 'o', 'b', 'z', 'g', 'a', 'p', 'h', 'y', 'k', 't', 'u', 'j', 'n', 'm', 'c', 'v', 'r', 'w', 'e', 'x', 'd', 'l', 'i']
s11 : ['n', 'm', 'c', 'v', 'r', 'w', 'e', 'x', 'd', 'l', 'i', 's', 'f', 'q', 'o', 'b', 'z', 'g', 'a', 'p', 'h', 'y', 'k', 't', 'u', 'j']
x6/9 : ['n', 'm', 'c', 'v', 'r', 'w', 'l', 'x', 'd', 'e', 'i', 's', 'f', 'q', 'o', 'b', 'z', 'g', 'a', 'p', 'h', 'y', 'k', 't', 'u', 'j']
po/e : ['n', 'm', 'c', 'v', 'r', 'w', 'l', 'x', 'd', 'o', 'i', 's', 'f', 'q', 'e', 'b', 'z', 'g', 'a', 'p', 'h', 'y', 'k', 't', 'u', 'j']
x0/2 : ['c', 'm', 'n', 'v', 'r', 'w', 'l', 'x', 'd', 'o', 'i', 's', 'f', 'q', 'e', 'b', 'z', 'g', 'a', 'p', 'h', 'y', 'k', 't', 'u', 'j']
s9 : ['g', 'a', 'p', 'h', 'y', 'k', 't', 'u', 'j', 'c', 'm', 'n', 'v', 'r', 'w', 'l', 'x', 'd', 'o', 'i', 's', 'f', 'q', 'e', 'b', 'z']
x8/7 : ['g', 'a', 'p', 'h', 'y', 'k', 't', 'j', 'u', 'c', 'm', 'n', 'v', 'r', 'w', 'l', 'x', 'd', 'o', 'i', 's', 'f', 'q', 'e', 'b', 'z']
